Plant_ID,Pcode,State,Customer_Id,Scode,Price,Wk0,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,Wk18,Wk19,Wk20,Wk21,Wk22,Wk23,Wk24,Wk25,Wk26,Wk27,Wk28,Wk29,Wk30,Wk31,Wk32,Wk33,Wk34,Wk35,Wk36,Wk37,Wk38,Wk39,Wk40,Wk41,Wk42,Wk43,Wk44,Wk45,Wk46,Wk47,Wk48,Wk49,Wk50,Wk51,Wk52,Wk53,Wk54,Wk55,Wk56,Wk57,Wk58,Wk59,Wk60,Wk61,Wk62,Wk63,Wk64,Wk65,Wk66,Wk67,Wk68,Wk69,Wk70,Wk71,Wk72,Wk73,Wk74,Wk75,Wk76,Wk77,Wk78,Wk79,Wk80,Wk81,Wk82,Wk83,Wk84,Wk85,Wk86,Wk87,Wk88,Wk89,Wk90,Wk91,Wk92,Wk93,Wk94,Wk95,Wk96,Wk97,Wk98,Wk99,Wk100,Wk101,Wk102,Wk103,
400,Los Angeles,CA,20,SKU11,$59.00 ,15,7,15,14,17,7,10,16,11,8,8,10,10,12,10,16,13,10,13,13,18,12,15,9,8,5,11,8,9,10,7,12,12,9,16,11,12,10,6,19,6,12,11,16,12,11,13,24,37,97,219,21,16,20,2,31,15,11,29,24,33,25,8,21,10,15,4,2,33,29,10,2,32,12,1,10,16,33,21,11,15,29,30,25,13,28,17,7,24,17,9,31,26,4,32,21,28,21,81,220,660,1942,32,25,
400,Los Angeles,CA,14,SKU12,$54.00 ,29,35,21,40,35,48,46,46,27,34,38,26,21,44,34,27,46,47,44,24,47,28,44,34,50,40,49,33,22,42,26,50,44,43,39,22,47,37,33,46,48,43,25,42,38,24,28,112,192,565,1685,27,44,47,25,42,36,38,48,46,22,27,22,23,31,36,41,20,47,35,27,48,48,49,26,50,39,50,47,43,45,23,35,45,46,37,43,31,47,46,21,23,39,45,50,33,40,26,79,157,205,362,20,25,
400,Los Angeles,CA,43,SKU13,$65.00 ,39,24,50,41,34,28,30,46,22,46,40,35,49,24,44,23,46,39,30,37,30,20,27,28,27,35,29,37,23,42,25,21,46,42,33,37,21,39,39,48,44,50,27,41,41,48,44,108,169,217,376,21,26,33,50,43,28,41,33,36,32,25,36,33,23,29,38,31,50,23,29,39,24,31,47,35,23,39,34,37,28,33,39,29,38,42,37,22,46,40,30,42,42,42,49,32,21,35,116,255,613,1165,26,21,
400,Los Angeles,CA,15,SKU14,$41.00 ,14,12,9,11,13,12,8,12,13,10,10,17,14,14,25,18,13,22,12,21,15,17,11,15,12,17,11,5,7,7,8,9,5,11,9,8,13,12,7,8,12,7,14,6,3,9,15,31,37,55,78,18,30,9,29,12,24,18,26,22,22,16,9,13,12,17,3,24,16,8,26,17,3,25,25,1,31,22,20,6,11,24,33,24,28,16,15,12,12,1,12,11,13,21,31,20,22,35,99,129,314,437,18,20,
400,Los Angeles,CA,33,SKU15,$17.00 ,50,26,41,32,43,27,34,35,39,23,33,26,44,28,50,46,32,48,21,35,37,37,46,20,34,26,35,20,41,34,35,40,38,32,32,29,33,48,43,25,38,28,24,27,24,23,23,147,292,314,612,31,34,39,30,50,34,24,47,23,37,30,22,24,48,23,43,22,50,23,36,36,37,46,48,28,50,47,22,21,36,20,34,30,33,33,20,46,37,45,24,43,23,39,33,30,49,24,102,169,402,1177,47,24,
400,Los Angeles,CA,23,SKU16,$71.00 ,37,34,23,48,29,26,25,35,36,30,39,34,42,24,36,22,22,34,22,27,23,27,48,32,32,28,40,37,40,45,47,49,24,43,41,44,35,38,49,20,39,33,35,40,39,38,50,144,187,316,897,35,26,22,47,40,48,41,45,36,21,44,27,24,46,48,36,27,22,42,32,20,21,50,47,45,29,50,44,41,42,21,27,42,38,36,37,42,37,26,43,44,24,39,47,46,32,37,140,269,482,667,43,22,
400,Los Angeles,CA,15,SKU17,$17.00 ,30,47,40,42,36,20,28,32,48,44,37,40,36,48,28,43,40,29,36,36,42,47,22,40,32,27,29,47,49,28,32,40,48,24,25,23,25,41,30,50,43,36,49,32,23,50,29,147,378,561,935,29,32,48,25,29,42,41,26,26,41,38,39,33,39,33,40,21,30,43,47,40,20,30,22,37,21,37,38,32,49,26,22,46,44,39,38,20,35,44,42,38,26,39,47,22,39,44,107,185,325,425,28,31,
400,Los Angeles,CA,30,SKU18,$86.00 ,38,44,35,48,21,23,22,25,26,48,20,45,27,26,48,26,34,38,35,41,49,34,32,47,35,20,42,46,42,43,24,47,42,26,31,21,49,44,22,46,32,39,27,37,41,40,35,122,347,934,2392,31,30,32,21,44,22,23,48,45,43,21,28,35,30,48,44,22,28,35,28,24,28,22,43,36,38,37,48,26,29,42,25,42,28,25,45,24,37,49,24,29,29,36,21,22,44,44,53,139,277,602,33,25,
400,Los Angeles,CA,9,SKU19,$34.00 ,33,22,20,36,21,31,37,43,34,38,40,24,28,38,22,29,26,39,27,27,30,28,45,43,42,32,23,37,21,44,34,20,31,20,43,41,35,47,42,26,23,35,27,40,45,32,20,66,130,302,776,37,41,32,21,21,35,43,24,36,43,49,30,29,24,27,33,25,23,29,26,21,23,30,30,38,34,25,31,46,45,20,47,41,39,44,29,34,40,34,20,26,24,22,50,41,34,31,115,157,354,619,21,33,
400,Los Angeles,CA,9,SKU20,$67.00 ,13,17,11,10,7,11,17,8,12,10,8,9,8,10,10,13,11,10,7,8,8,8,9,7,10,8,8,9,8,9,7,7,5,5,4,5,8,8,9,8,9,9,7,8,8,9,17,31,87,139,167,9,21,35,31,35,8,5,28,5,11,27,24,31,23,17,23,2,15,28,19,26,28,24,21,6,16,28,5,20,23,18,24,13,1,24,16,13,7,32,35,25,29,9,34,32,28,34,60,72,174,299,2,22,
400,Los Angeles,CA,30,SKU21,$41.00 ,42,40,32,35,24,45,39,36,41,33,32,49,21,23,48,37,37,40,21,41,31,30,37,31,49,37,39,22,47,43,26,49,43,45,27,33,42,31,31,46,31,47,37,23,32,38,34,62,171,333,352,45,25,30,28,38,24,34,31,21,35,34,37,44,35,22,31,28,32,40,36,50,48,29,21,41,43,44,45,26,38,43,49,50,25,25,48,25,50,41,39,38,35,26,40,42,44,47,142,236,604,689,26,40,
400,Los Angeles,CA,40,SKU22,$65.00 ,8,14,8,9,17,6,17,15,11,13,9,18,5,8,12,6,17,9,10,6,9,17,10,9,9,1,4,4,10,9,9,5,5,7,10,11,8,8,11,10,9,6,7,3,7,12,11,42,125,308,348,5,4,10,13,28,13,8,21,7,30,22,32,24,8,10,20,12,20,18,20,6,6,16,7,28,24,20,34,9,33,26,3,4,10,19,35,7,13,34,7,17,9,17,12,3,25,4,95,120,238,699,5,25,
400,Los Angeles,CA,46,SKU23,$49.00 ,50,39,50,35,45,30,34,42,40,50,29,28,43,24,28,45,24,33,28,45,35,44,45,23,41,36,21,26,44,42,20,48,23,49,34,41,42,33,48,28,48,38,34,46,43,45,29,118,135,344,747,40,30,46,45,31,50,24,43,38,30,36,32,49,28,27,29,45,28,22,43,22,32,40,26,33,44,39,26,27,29,27,30,34,21,35,50,33,21,20,50,20,43,25,41,37,37,31,113,204,557,883,38,32,
400,Los Angeles,CA,44,SKU24,$12.00 ,36,42,27,33,40,48,38,39,41,39,44,35,53,52,43,45,41,42,43,26,35,29,48,24,33,34,23,24,26,28,32,34,38,40,32,31,50,36,43,42,32,32,38,36,39,32,31,128,376,1006,2628,14,17,32,8,15,17,7,34,23,15,4,3,35,10,2,35,21,22,1,10,22,17,31,14,25,11,7,16,5,27,18,24,2,17,34,17,10,22,29,26,14,28,32,11,24,29,19,89,184,416,832,12,32,
400,Los Angeles,CA,30,SKU25,$62.00 ,20,28,20,36,36,20,37,35,49,40,21,32,41,27,49,29,38,26,31,50,39,45,36,36,38,35,20,45,48,36,37,28,45,28,27,31,38,32,27,33,40,45,34,27,49,50,44,132,307,437,931,49,36,21,36,41,42,20,20,48,31,49,50,24,23,49,50,45,34,38,46,35,21,43,48,42,43,26,38,49,21,20,47,47,43,35,33,39,32,36,39,21,27,44,31,24,37,40,70,122,246,706,41,44,
400,Los Angeles,CA,6,SKU26,$62.00 ,14,14,9,8,9,7,9,11,10,14,16,7,15,8,18,8,11,12,9,15,16,20,7,10,12,9,9,9,5,8,10,10,10,7,6,6,11,7,10,8,10,5,15,5,9,3,13,46,81,162,257,21,33,11,8,26,20,35,4,17,16,5,32,21,16,12,8,24,3,27,4,11,31,27,20,28,14,6,29,6,17,16,4,34,5,9,23,25,5,12,21,17,21,8,20,12,1,28,94,218,503,1007,18,22,
400,Los Angeles,CA,2,SKU27,$14.00 ,44,34,33,39,34,30,47,27,45,39,47,39,35,47,29,45,52,38,51,38,41,21,33,33,25,27,32,42,26,33,26,26,32,31,26,38,46,28,30,31,41,21,40,33,32,26,26,136,229,246,406,28,6,31,33,32,29,8,2,34,15,1,5,6,5,34,35,24,32,24,20,23,2,31,34,22,23,23,2,25,9,17,5,5,12,6,23,20,21,13,8,15,23,2,24,3,31,6,62,114,202,270,22,19,
400,Los Angeles,CA,26,SKU28,$53.00 ,34,32,36,41,31,31,32,29,43,33,37,44,37,27,36,38,24,36,30,32,29,40,41,36,33,22,28,23,35,36,33,32,24,31,22,33,37,34,33,29,36,33,32,35,41,34,29,86,187,225,664,25,10,4,9,14,7,35,25,12,16,25,11,4,12,28,17,4,22,14,21,15,18,27,8,15,6,31,22,24,29,25,30,16,32,5,23,17,10,26,13,15,15,32,18,15,3,28,98,162,328,361,11,2,
400,Los Angeles,CA,17,SKU29,$29.00 ,13,10,12,17,17,11,15,16,10,12,18,6,14,12,11,10,19,25,9,17,12,15,16,11,14,15,4,13,12,10,7,10,7,19,10,5,14,7,11,10,11,14,10,13,6,9,5,72,185,302,676,16,3,29,7,11,27,26,4,18,31,19,28,28,13,13,3,16,2,18,32,12,25,1,13,18,30,5,27,7,21,21,19,5,30,24,15,29,34,34,6,34,21,17,2,17,5,8,47,73,81,125,24,10,
400,Los Angeles,CA,33,SKU30,$17.00 ,46,36,45,34,35,36,43,28,26,33,46,42,41,42,37,38,40,35,29,31,43,29,39,35,35,20,16,29,38,28,24,29,34,18,29,31,25,41,36,27,26,40,18,32,35,39,32,94,152,286,502,21,13,17,2,16,18,21,12,28,35,8,7,4,14,22,24,9,21,17,33,29,7,19,22,12,29,22,34,31,2,12,2,29,31,7,32,24,34,6,20,29,12,13,21,34,8,22,63,82,98,244,8,10,
400,Los Angeles,CA,42,SKU31,$44.00 ,7,17,6,7,9,7,11,10,13,9,4,15,10,7,10,9,11,8,14,9,10,3,3,1,8,10,5,6,14,9,12,8,9,5,10,6,14,10,6,12,11,11,8,5,7,9,3,46,123,141,151,7,10,24,6,22,22,3,23,26,35,33,24,33,21,30,22,11,1,17,6,23,4,21,3,5,26,28,30,10,19,34,2,7,19,16,3,14,19,17,11,35,6,10,32,12,30,3,43,48,139,279,16,35,
400,Los Angeles,CA,36,SKU32,$51.00 ,15,13,10,4,13,7,10,12,11,15,5,15,8,10,7,16,11,10,7,11,6,8,5,3,12,10,9,9,6,7,13,7,12,15,7,6,9,6,6,9,11,5,5,11,12,8,12,27,61,75,86,7,31,21,15,15,30,26,22,23,5,8,14,10,8,29,24,6,9,10,20,7,13,3,21,19,22,8,12,21,12,33,17,24,28,28,1,27,4,29,14,8,18,34,7,31,2,6,94,275,699,1175,28,4,
400,Los Angeles,CA,21,SKU33,$36.00 ,15,12,11,17,10,18,11,16,8,6,11,10,18,10,14,13,13,12,14,10,10,11,14,11,10,17,8,13,6,16,9,4,12,10,19,9,7,5,10,8,11,5,11,13,11,11,11,47,66,70,71,11,8,17,14,13,15,9,2,18,25,1,17,24,9,35,33,27,4,24,4,2,1,24,30,17,32,8,18,24,34,28,25,2,24,14,16,27,26,4,34,7,29,1,24,2,24,5,47,115,257,438,5,6,
400,Los Angeles,CA,33,SKU34,$23.00 ,47,42,24,55,42,23,41,51,45,29,51,40,28,48,35,40,38,36,53,38,39,41,31,43,33,30,27,37,34,37,38,39,23,33,41,38,28,35,33,33,35,34,29,25,38,46,46,82,185,219,283,26,6,29,31,27,2,13,35,19,16,12,20,33,12,1,33,22,9,33,27,4,7,8,14,25,7,35,13,8,34,13,34,9,9,20,34,2,32,24,28,35,32,16,4,16,6,20,52,61,183,423,31,31,
400,Los Angeles,CA,18,SKU35,$20.00 ,34,37,26,27,49,48,36,34,28,41,41,35,29,42,41,31,38,27,36,36,39,42,35,38,35,24,32,32,41,33,32,29,45,26,26,35,34,40,33,42,35,37,43,33,28,25,31,117,145,189,556,28,32,17,16,9,20,13,11,14,14,7,15,27,19,7,24,26,28,22,21,7,20,33,6,33,33,30,28,13,12,21,2,24,28,8,3,2,5,2,2,12,4,14,6,16,27,25,67,73,132,147,8,33,
400,Los Angeles,CA,33,SKU36,$35.00 ,41,32,39,45,38,40,39,39,27,48,47,35,61,34,37,47,30,46,41,45,38,39,39,34,37,24,35,22,39,39,32,40,34,23,21,39,25,22,34,33,38,31,26,37,27,29,50,117,147,422,483,19,28,7,12,28,29,32,6,31,8,13,9,10,27,28,18,31,9,24,34,11,19,23,29,2,5,9,12,6,19,24,12,27,29,14,14,27,4,10,5,29,20,16,5,20,17,23,98,196,292,694,3,21,
400,Los Angeles,CA,37,SKU37,$72.00 ,36,39,43,42,38,37,31,26,36,29,31,36,46,25,51,44,42,52,40,56,46,45,38,38,40,22,30,27,29,32,35,31,28,35,32,40,33,44,30,30,44,31,35,32,34,40,27,106,299,727,1387,29,19,34,24,26,11,8,34,6,32,17,10,11,31,1,19,25,22,5,8,8,2,6,13,28,32,6,19,30,13,1,7,23,18,14,3,18,17,14,6,25,6,29,20,33,32,1,41,53,142,301,33,3,
400,Los Angeles,CA,27,SKU38,$27.00 ,37,36,43,52,61,50,35,52,49,46,53,57,35,33,42,41,31,43,36,42,27,36,30,39,41,21,31,21,30,20,34,36,35,40,34,27,29,35,40,20,23,27,41,38,37,35,32,84,197,342,951,24,22,26,28,16,17,6,18,7,30,14,10,3,9,26,31,26,33,8,32,34,12,29,18,11,5,29,18,3,12,7,1,26,11,19,1,8,20,30,27,16,16,31,33,17,30,2,82,219,540,1319,7,22,
400,Los Angeles,CA,5,SKU39,$77.00 ,31,21,28,39,53,39,25,31,43,40,41,43,47,35,36,34,35,40,54,38,34,34,30,44,33,28,22,24,31,21,41,26,30,44,30,20,28,23,42,21,30,30,45,34,28,37,40,131,170,176,452,25,1,33,21,4,11,28,18,10,1,17,13,8,22,26,11,9,26,26,16,28,35,19,7,5,10,27,9,6,20,3,29,6,2,10,13,29,28,15,31,33,2,29,23,17,13,3,103,193,441,532,14,1,
400,Los Angeles,CA,41,SKU40,$83.00 ,41,27,27,51,37,38,48,40,39,40,47,31,48,43,37,45,47,39,50,38,38,44,33,27,39,23,22,29,24,36,33,33,32,38,32,30,32,34,41,47,28,26,23,38,36,40,44,96,173,361,617,22,11,17,10,32,18,32,14,4,1,4,7,31,30,17,6,2,18,16,33,17,28,5,24,19,34,25,27,9,13,25,35,13,7,35,32,17,28,34,27,8,26,10,9,25,8,21,53,102,193,268,12,11,
400,Los Angeles,CA,17,SKU41,$70.00 ,35,27,26,43,44,38,40,38,47,48,32,37,35,36,50,41,50,50,37,41,37,49,27,44,26,28,23,22,26,22,27,36,25,36,40,37,29,22,34,32,40,40,32,31,34,32,37,99,277,610,1344,27,12,21,25,35,29,33,9,22,7,19,18,18,29,29,11,2,1,2,10,23,15,24,1,22,21,2,19,9,32,2,14,1,15,14,28,28,14,7,29,3,19,15,34,32,2,24,48,82,97,238,33,6,
400,Los Angeles,CA,19,SKU42,$77.00 ,42,27,40,27,32,42,31,37,22,38,33,39,37,45,48,31,45,35,31,48,31,41,29,40,36,25,26,22,26,37,28,27,31,28,39,24,25,29,24,25,25,34,41,27,39,30,41,117,335,340,373,16,13,14,23,10,1,13,25,25,1,23,11,24,34,13,8,25,12,11,20,16,5,34,5,10,1,1,25,26,6,32,28,28,33,27,12,27,1,3,18,2,7,19,32,12,6,14,68,174,273,448,11,21,
400,Los Angeles,CA,45,SKU43,$34.00 ,28,43,40,43,54,33,39,30,38,38,56,34,37,32,44,47,45,51,33,48,61,40,44,41,40,32,26,29,36,28,22,34,21,32,20,30,37,34,28,26,41,44,43,39,34,33,41,164,231,379,963,27,4,4,31,15,6,1,16,10,27,29,2,7,25,6,8,22,8,28,26,27,14,34,5,31,25,34,1,20,18,28,31,35,30,32,12,10,1,10,23,17,34,12,24,7,6,20,99,162,247,464,22,1,
400,Los Angeles,CA,37,SKU44,$85.00 ,34,27,28,36,50,28,31,33,34,27,29,33,30,45,35,42,45,37,39,32,40,38,41,40,31,24,31,26,27,23,33,31,33,33,26,19,37,38,38,37,19,33,33,45,29,28,27,104,307,594,1517,16,7,8,9,7,29,11,27,12,6,32,17,19,16,18,27,15,10,2,11,27,10,16,28,27,16,1,31,20,25,4,23,18,26,7,18,24,21,1,11,23,2,7,34,24,4,4,53,65,117,132,30,28,
400,Los Angeles,CA,19,SKU45,$16.00 ,40,29,39,34,37,23,33,26,34,41,33,29,54,37,37,27,33,39,32,40,46,32,38,26,28,24,27,29,16,36,29,27,28,30,29,33,49,22,37,25,28,21,38,21,18,32,41,57,171,211,419,20,11,3,17,21,14,17,15,28,19,14,11,13,30,3,4,9,13,27,5,9,6,31,13,25,13,9,8,34,5,3,25,20,8,8,12,8,11,1,9,30,32,17,30,14,26,12,56,106,115,303,23,5,
400,Los Angeles,CA,34,SKU46,$25.00 ,27,46,31,38,40,40,53,43,45,32,37,32,38,39,28,43,50,39,44,33,35,33,38,26,28,24,21,26,24,33,28,24,24,29,23,30,38,29,23,30,41,30,33,46,30,29,31,152,451,785,810,14,10,34,3,1,29,7,26,3,1,23,30,33,22,25,12,30,30,15,24,6,29,27,18,23,28,3,25,4,19,22,34,25,7,2,27,11,6,12,7,19,18,23,29,11,12,1,43,93,242,285,9,19,
400,Los Angeles,CA,37,SKU47,$87.00 ,40,42,27,28,33,29,33,58,37,34,37,19,41,37,47,36,30,40,46,26,31,39,51,43,41,20,24,20,39,30,34,24,25,32,28,23,32,26,41,29,33,30,38,39,33,27,33,136,367,845,1207,20,29,28,17,17,8,32,10,14,17,19,33,29,10,9,34,20,29,14,22,26,21,10,9,13,5,21,9,35,25,23,30,9,18,33,32,27,30,5,13,10,20,19,18,19,30,32,64,67,79,105,29,35,
400,Los Angeles,CA,44,SKU48,$61.00 ,29,51,40,33,43,28,29,41,35,45,43,41,30,32,51,50,45,34,37,40,34,35,39,52,27,19,43,31,19,28,30,30,32,38,33,30,28,17,34,38,31,36,36,22,38,34,33,92,167,180,345,27,11,5,32,26,13,9,2,5,7,17,23,11,9,5,1,15,32,25,3,13,32,6,14,15,3,9,20,20,20,31,30,13,13,30,32,10,21,35,27,21,31,5,32,7,1,14,48,68,124,312,15,30,
400,Los Angeles,CA,22,SKU49,$26.00 ,37,28,42,38,37,35,42,36,30,48,28,39,32,44,36,41,35,39,39,48,32,39,35,39,31,35,31,26,29,36,37,27,26,26,33,39,42,28,21,37,32,36,25,49,36,27,33,90,179,377,750,23,24,23,33,28,11,15,33,20,34,35,10,10,23,30,30,23,28,27,7,3,19,21,28,35,17,23,21,12,24,16,27,35,21,32,30,2,19,28,30,28,32,16,4,33,15,26,42,88,149,256,11,7,
400,Los Angeles,CA,30,SKU50,$77.00 ,12,3,15,8,12,7,9,10,12,8,13,11,9,9,11,7,12,13,11,10,5,7,6,6,8,5,7,6,12,4,9,10,10,5,7,4,7,10,8,9,6,17,6,12,12,10,10,29,69,104,180,9,5,27,3,21,2,5,11,31,7,8,12,2,21,15,6,22,27,25,16,3,21,31,23,12,22,7,30,32,34,29,16,8,32,13,11,5,9,33,33,30,34,19,23,26,28,28,57,135,273,412,28,26,
400,Los Angeles,CA,46,SKU51,$91.00 ,19,14,17,27,14,18,18,18,14,18,19,17,28,25,21,16,24,26,14,18,20,25,20,21,17,7,21,19,20,14,20,19,16,12,16,20,25,15,18,18,16,15,19,9,27,14,17,76,165,228,626,7,31,24,35,33,21,34,2,29,25,2,31,28,7,35,33,13,21,33,17,5,24,21,16,32,9,20,21,16,11,19,29,8,12,27,8,34,13,29,15,9,30,20,5,14,25,2,91,174,189,438,6,33,
400,Los Angeles,CA,42,SKU52,$71.00 ,40,44,37,48,28,40,35,32,41,36,44,39,31,32,43,39,46,36,31,43,34,31,33,34,32,41,26,19,25,28,22,29,21,23,21,38,33,26,19,28,34,32,35,41,29,34,36,98,131,265,349,20,29,34,7,29,29,14,16,25,34,13,9,12,4,35,22,31,23,4,27,8,19,12,9,18,16,33,3,5,9,11,24,18,34,24,20,18,17,6,15,18,14,16,18,23,16,12,79,92,198,499,22,22,
400,Los Angeles,CA,31,SKU53,$80.00 ,2,5,6,8,3,1,9,6,2,5,5,4,2,3,7,7,9,3,10,2,7,6,6,4,5,5,4,1,3,5,5,2,3,3,6,2,4,4,2,7,3,1,3,0,4,6,7,26,47,59,161,9,9,5,31,29,10,35,11,35,20,18,28,7,33,5,5,33,32,31,5,11,4,14,8,17,33,15,21,14,9,14,3,26,13,32,23,29,11,13,24,31,22,16,2,6,29,35,70,77,189,391,33,4,
400,Los Angeles,CA,25,SKU54,$95.00 ,41,42,37,40,29,52,43,40,41,38,33,52,37,43,47,33,34,45,25,32,36,44,45,30,42,23,27,38,32,40,29,36,28,21,30,26,27,41,31,26,38,29,29,34,42,38,45,58,148,428,1069,26,32,19,17,28,18,26,23,9,7,30,21,13,35,5,28,1,14,35,30,19,31,24,21,24,33,18,20,6,12,5,29,28,9,30,23,33,30,35,16,11,32,24,8,28,7,3,67,123,133,380,16,18,
